extractor_initials,study_id,doi,year,review_type,quantitative,ceesat,cited_policy,study_designs,n_studies,ecosystem_type,noise_frequencies,specific_noises,noise_source,scope_single_species,scope_singlehigher_taxa,scope_taxon,taxa_notes,n_species,sp_source,sp_source_category,outcome_category,outcome_notes,effects,contextual_modifiers,contextual_modifiers_name,general_notes,
A,affatati_2023,10.3389/fmars.2023.1222523,2023,Systematic review,no,yes,no,Unclear,31,Marine,Mixed,Yes,Energy,No,No,"Aves, Mammalia, Invertebrates, Fish","Zooplankton, pinipeds, cetaceans, birds (penguins), fish, invertebrates",,Yes,Wild,"Behavioural, Communication, Physiological","behavioral responses, acoustic interference (i.e., masking), temporary or permanent shifts in hearing threshold (TTS, PTS), and stress",,No,,,
A,afridi_2024,10.1109/ICUAS60882.2024.10557094,2024,Systematic review,no,yes,no,Unclear,No information,"Terrestrial, Marine, Freshwater",Unclear,Yes,UAV/UAS,No,No,"Aves, Mammalia","Cetaceans, Pinnipeds, birds, ungulates, camelids, bears, elephants",unclear,Unclear,Wild,"Behavioural, Physiological, Reproductive","Vigilance, avoidance, reproductive impacts, physiological stress (hormonal changes), foraging",,No,,,
A,arcangeli_2023,10.3390/ijerph20010591,2023,Systematic review,no,yes,no,Mixed,34,"Terrestrial, Marine, Freshwater",Mixed,Yes,"Transportation, Energy, Construction, Synthetic",No,No,"Aves, Amphibia, Mammalia, Fish, Mollusca","Mammalia, Aves, Amphibia, Fish, Cephalopoda, Marine species",unclear,No,Mixed,Physiological,,,No,,,
A,benitez_2010,10.1016/j.biocon.2010.02.009,2010,Meta-analysis,yes,yes,yes,Observational,10,Terrestrial,Unclear,Yes,"Transportation, Construction",No,Yes,"Aves, Mammalia","Mammalia, Aves",Unclear how many they use for the traffic intensity analysis,Unclear,Wild,Ecological,Mean abundance,,Yes,"Infrastructure visibility (e.g., forest cover)","They included 49 papers for the meta-analysis, 201 bird, 33 mammal. However, only 10 bird studies had information on traffic intensity (noise-proxy). They didn't include mammals in this analysis as they only found 5 papers reporting this.",
A,carlos_2024,10.36677/elperiplo.v0i46.21010,2024,Systematic review,no,yes,no,Mixed,5,"Terrestrial, Marine",Unclear,Yes,"Transportation, Recreational",No,No,"Aves, Mammalia","Aves, Mammalia",unclear,Yes,Wild,"Behavioural, Physiological, Ecological","Abundance and richness, behavioural and physiological. Forraging, vigilance",,Yes,,They included 30 articles but only 5 about the noise or human presence and noise related to tourism.Most studies where in Protected areas.,
A,chen_2023,10.1002/ece3.10259,2023,Systematic review,no,yes,no,Mixed,16,Urban,Unclear,Yes,Transportation,No,Yes,Aves,"Tachycineta_bicolor, Parus_major, Taeniopygia_guttata, Sialia_sialis, Parus_major, Passer_domesticus, Sialia_mexicana, Myiarchus_cinerascens, Parus_major, Ficedula_hypoleuca, Sialia_mexicana, Sialia_currucoides, Myiarchus_cinerascens, Passer_domesticus",9,Unclear,Wild,Reproductive,"Categorized articles were utilized to identify separate and combined effects of these environmental factors on first egg-laying date, clutch size, number of nestlings and fledglings, and hatching and fledging success","Positive, Negative",Yes,"Land use:food resources, trophic interactions, ALAN",They report postive and negative effects of noise pollution on breeding fitness,
A,cox_2016,10.1121/2.0000291,2016,Meta-analysis,yes,yes,yes,Experimental,27,"Freshwater, Marine",Unclear,No,Unclear,No,Yes,Fish,Fish,unclear,Yes,Mixed,"Behavioural, Physiological",,,No,,"Authors compare behavior and physiology using HedgesÕ d, most effect sizes were from lab studies but origin not systematically stated. wild caught and lab-raised fishes, and between marine and freshwater fishes",
A,cox_2018,10.1111/gcb.14106,2018,Meta-analysis,yes,yes,yes,Experimental,42,"Freshwater, Marine",Unclear,No,"Unclear, Synthetic, Recreational",No,Yes,Fish,Fish,unclear,Unclear,Unclear,"Behavioural, Physiological, Reproductive, Communication",,,No,,"Studies spanned lab and in situ settings, most used recorded playback or simulated noise sources in tanks. Australia 1, Austria 3, Canada, 3, China, 1, France 1, Greece 5, Italy 6, Netherlands 1, Portugal 3, Scotland 2, Sweden 1, Turkey 1, United Kingdom 4, USA 10.",They hAves a docx and https://github.com/gomezcatalina/BRS_SB
A,davies_2024,10.1111/gcb.17593,2024,Meta-analysis,yes,yes,no,Experimental,46,"Freshwater, Marine",Unclear,Yes,"Construction, Energy, Recreational, Synthetic, Transportation",No,No,"Bryozoa, Cnidaria, Echinodermata, Arthropoda, Mollusca, Annelida","Arthropoda, Mollusca, Cnidaria, Bryozoa, Echinodermata, Annelida, Zooplankton",50,No,Mixed,"Behavioural, Physiological","behavioural (defense, foraging, movement, recruitment), physiological (biochemestry, developement, genetics, morphology, survival)",,No,"only noise source, taxa","most prominent physiological responses were related to biochemistry, genetics, and morphology. They do hAves different outcomes, foraging, movement, recruitment, developement, survival, biochemestry... etc",
A,dejong_2020,10.1007/s11160-020-09598-9,2020,Meta-analysis,yes,yes,yes,Mixed,62,"Freshwater, Marine",Mixed,Yes,"Construction, Energy, Synthetic, Transportation",No,Yes,Fish,Fish,52,Yes,Mixed,"Reproductive, Physiological, Communication, Behavioural, Ecological","Stress, masking, hearing lost, r",,Yes,"Exposure time (intermitent vs continuos noise, irregular vs regular noise), amplitude, study type, habitat, life stage, study.","They did a meta-analysis and a review: Meta-analysis: Stress (avoidance, condition-loss, cortisol), Masking (change in signal, avoidance), Hearing loss (change in signal, avoidance). Review: sexual developement, establishment at spawning (migration, resource competition), Spawning success (mate-localization, courtship, mate-choice), hatching success (parental care)",
