study_id,title,authors,year,language,doi,plumx_url,policy_cited,open_access,policy_number_July_9_2025,policy_extraction_date,policy_number_in_date_of_extraction,unique_policy_citations,number_repeated_documents,progress,Notes
affatati_2023,Effects of marine seismic surveys on free-ranging fauna: a systematic literature review,Affatati and Camerlenghi,2023,English,10.3389/fmars.2023.1222523,https://plu.mx/plum/a/?doi=10.3389/fmars.2023.1222523,No,,0,09-Jul-25,0,0,,No citations,
afridi_2024,Unveiling the Impact of Drone Noise on Wildlife: A Crucial Research Imperative,Afridi et al,2024,English,10.1109/ICUAS60882.2024.10557094,https://plu.mx/plum/a/?doi=10.1109/ICUAS60882.2024.10557094,No,All Open Access; Green Final Open Access; Green Open Access,0,09-Jul-25,0,0,,No citations,
arcangeli_2023,Neurobehavioral Alterations from Noise Exposure in Animals: A Systematic Review,Arcangeli et al,2023,English,10.3390/ijerph20010591 ,https://plu.mx/plum/a/?doi=10.3390/ijerph20010591,No,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,0,09-Jul-25,0,0,,No citations,
carlos_2024,Revisión bibliográfica sistemática del impacto del turismo en el bienestar de la fauna silvestre en Sudamérica,"Carlos and García-Londoño GARCÍA- LONDOÑO,",2024,Spanish,10.36677/elperiplo.v0i46.21010,https://plu.mx/plum/a/?doi=10.36677/elperiplo.v0i46.21010,No,,0,09-Jul-25,0,0,,No citations,
chen_2023,A multidimensional framework to quantify the effects of urbanization on avian breeding fitness,Chen et al,2023,English,10.1002/ece3.10259,https://plu.mx/plum/a/?doi=10.1002/ece3.10259,No,All Open Access; Hybrid Gold Open Access,0,09-Jul-25,0,0,,No citations,
davies_2024,Marine and Freshwater Sounds Impact Invertebrate Behavior and Physiology: A Meta-­ Analysis,Davies et al,2024,English,10.1111/gcb.17593,https://plu.mx/plum/a/?doi=10.1111/gcb.17593,No,All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access,0,09-Jul-25,0,0,,No citations,
dixon_2022,The effects of roadways on lakes and ponds: a systematic review and assessment of knowledge gaps,Dixon et al,2022,English,10.1139/er-2022-0022 ,https://plu.mx/plum/a/?doi=10.1139/er-2022-0022,No,,0,09-Jul-25,0,0,,No citations,
duquette_2021,A meta-­analysis of the influence of anthropogenic noise on terrestrial wildlife communication strategies,Duquette et al,2021,English,10.1111/1365-2664.13880,https://plu.mx/plum/a/?doi=10.1111/1365-2664.13880,No,,0,09-Jul-25,0,0,,No citations,
easton_2024,Evaluating ecological risk in artificial habitat failure: A systematic review and risk assessment considering noise and light pollution in the marine environment,Easton et al,2024,English,10.1016/j.eiar.2024.107560,https://plu.mx/plum/a/?doi=10.1016/j.eiar.2024.107560,No,,0,09-Jul-25,0,0,,No citations,
engel_2024,A Systematic Review of Anthropogenic Noise Impact on Avian Species,Engel et al,2024,English,10.1007/s40726-024-00329-3,https://plu.mx/plum/a/?doi=10.1007/s40726-024-00329-3,No,All Open Access; Hybrid Gold Open Access,0,09-Jul-25,0,0,,No citations,
engel_2024,What do we know about noise impacts on birds? A systematic review focusing on acoustic methodology,Engel et al,2024,English,10.25144/16602,https://plu.mx/plum/a/?doi=10.25144/16602,No,,0,09-Jul-25,0,0,,No citations,
frie_2024,Exploring the effects of methodological choices on the estimation and biological interpretation of life history parameters for harbour porpoises in Norway and beyond,Frie and Lindström,2024,English,10.1371/journal.pone.0301427,https://plu.mx/plum/a/?doi=10.1371/journal.pone.0301427,No,All Open Access; Gold Open Access,0,09-Jul-25,0,0,,No citations,
gomes_2022,"Influence of Anthropogenic Sounds on Insect, Anuran and Bird Acoustic Signals: A Meta-Analysis",Gomes et al,2022,English,10.3389/fevo.2022.827440,https://plu.mx/plum/a/?doi=10.3389/fevo.2022.827440,No,,0,09-Jul-25,0,0,,No citations,
guenat_2023,"A global meta-­ analysis reveals contrasting impacts of air, light, and noise pollution on pollination",Guenat and Dallimer,2023,English,10.1002/ece3.9990,https://plu.mx/plum/a/?doi=10.1002/ece3.9990,No,,0,09-Jul-25,0,0,,No citations,
hague_2024,"Narwhal, beluga and bowhead whale responses to marine vessel traffic: A systematic map",Hague and McWhinnie,2024,English,10.1016/j.ocecoaman.2024.107251,https://plu.mx/plum/a/?doi=10.1016/j.ocecoaman.2024.107251,No,All Open Access; Hybrid Gold Open Access,0,09-Jul-25,0,0,,No citations,
halfwerk_2021,A Systematic Review of Research Investigating the Combined Ecological Impact of Anthropogenic Noise and Artificial Light at Night,Halfwerk and Jerem,2021,English,10.3389/fevo.2021.765950,https://plu.mx/plum/a/?doi=10.3389/fevo.2021.765950,No,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,0,09-Jul-25,0,0,,No citations,
jerem_2021,Trends and knowledge gaps in field research investigating effects of anthropogenic noise,Jerem and Mathews,2021,English,10.1111/cobi.13510,https://plu.mx/plum/a/?doi=10.1111/cobi.13510,No,All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access,0,09-Jul-25,0,0,,No citations,
jiang_2022,A systematic scoping review of environmental and socio-economic effects of COVID-19 on the global ocean-human system,Jian et al,2022,English,10.1016/j.scitotenv.2022.157925,https://plu.mx/plum/a/?doi=10.1016/j.scitotenv.2022.157925,No,All Open Access; Green Final Open Access; Green Open Access,0,09-Jul-25,0,0,,No citations,
johnson_2022,Advancing avian road ecology research through systematic review,Johnson et al,2022,English,10.1016/j.trd.2022.103375,https://plu.mx/plum/a/?doi=10.1016/j.trd.2022.103375,No,All Open Access; Green Accepted Open Access; Green Open Access,0,09-Jul-25,0,0,,No citations,
kunc_2021,Species sensitivities to a global pollutant: A meta-analysis on acoustic signals in response to anthropogenic noise,Kunc and Schmidt,2021,English,10.1111/gcb.15428,https://plu.mx/plum/a/?doi=10.1111/gcb.15428,No,,0,09-Jul-25,0,0,,No citations,
li_2025,Habitat preference contributes to explaining the varied sensitivity of bats to anthropogenic noise,Li et al,2025,English,10.1016/j.biocon.2025.110974,https://plu.mx/plum/a/?doi=10.1016/j.biocon.2025.110974,No,All Open Access; Gold Open Access,0,09-Jul-25,0,0,,No citations,
nelson_2024,Inequalities in noise will affect urban wildlife,Nelson-Olivieri et al,2024,English,10.1038/s41559-023-02257-9,https://plu.mx/plum/a/?doi=10.1038/s41559-023-02257-9,No,,0,09-Jul-25,0,0,,No citations,
pires_2021,The effects of anthropogenic noise on cetaceans in Brazil: the need to consider recent scientific advances in environmental licensing,Soares Pires et al,2021,English,10.1007/s11852-021-00832-5,https://plu.mx/plum/a/?doi=10.1007/s11852-021-00832-5,No,,0,09-Jul-25,0,0,,No citations,
tiddy_2024,Impacts of anthropogenic pollutants on social group cohesion and individual sociability in fish: A systematic review and meta-analysis,Tiddy et al,2024,English,10.1016/j.envpol.2024.125017,https://plu.mx/plum/a/?doi=10.1016/j.envpol.2024.125017,No,,0,09-Jul-25,0,0,,No citations,
williams_2025,"Noise from deep-sea mining in the Clarion-Clipperton Zone, Pacific Ocean will impact a broad range of marine taxa",Williams et al,2025,English,10.1016/j.marpolbul.2025.118135,https://plu.mx/plum/a/?doi=10.1016/j.marpolbul.2025.118135,No,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,0,09-Jul-25,0,0,,No citations,
zaﬀaroni_2023,Eﬀects of anthropogenic noise on anuran amphibians,Zaﬀaroni-Caorsi et al,2023,English,10.1080/09524622.2022.2070543,https://plu.mx/plum/a/?doi=10.1080/09524622.2022.2070543,No,All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access,0,09-Jul-25,0,0,,No citations,
zamora_2021,Contaminación Acústica Marina,Zamora-Ávila,2021,Spanish,--,---,No,,0,09-Jul-25,0,0,,No citations,
kok_2023,How chronic anthropogenic noise can affect wildlife communities,Kok et al,2023,English,10.3389/fevo.2023.1130075,https://plu.mx/plum/a/?doi=10.3389/fevo.2023.1130075,Yes,,1,09-Jul-25,1,1,,Done,
norman_2022,"A Systematic Review Demonstrates How Surrogate Populations Help Inform Conservation and Management of an Endangered Species—The Case of Cook Inlet, Alaska Belugas",Norman et al,2022,English,10.3389/fmars.2022.804218,https://plu.mx/plum/a/?doi=10.3389/fmars.2022.804218,Yes,All Open Access; Hybrid Gold Open Access,1,09-Jul-25,1,1,,Done,
roca_2016,Shifting song frequencies in response to anthropogenic noise: A meta-analysis on birds and anurans,Roca et al,2016,English,10.1093/beheco/arw060,https://plu.mx/plum/a/?doi=10.1093/beheco/arw060,Yes,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,1,09-Jul-25,1,1,,Done,
murchy_2019,Impacts of noise on the behavior and physiology of marine invertebrates: A meta-analysis,Murchy et al,2019,English,10.1121/2.0001217,https://plu.mx/plum/a/?doi=10.1121/2.0001217,Yes,All Open Access; Hybrid Gold Open Access,2,09-Jul-25,2,2,,Done,
cox_2016,Assessing the effect of aquatic noise on fish behavior and physiology: a meta-analysis approach,Cox et al ,2016,English,10.1121/2.0000291,https://plu.mx/plum/a/?doi=10.1121/2.0000291,Yes,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,6,09-Jul-25,6,3,1,Done,"Repeated 4 times: Global Environment Outlook - GEO 6 :healthy planet, healthy people"
sordello_2020,Evidence of the impact of noise pollution on biodiversity: a systematic map,Sordello et al,2020,English,10.1186/s13750-020-00202-y,https://plu.mx/plum/a/?doi=10.1186/s13750-020-00202-y,Yes,All Open Access; Green Final Open Access; Green Open Access,7,09-Jul-25,7,7,0,Done,
harding_2019,Causes and consequences of intraspecific variation in animal responses to anthropogenic noise,Harding et al,2019,English,10.1093/beheco/arz114,https://plu.mx/plum/a/?doi=10.1093/beheco/arz114,Yes,All Open Access; Gold Open Access,9,09-Jul-25,9,8,1,Done,Duplicated: Marine Construction Licence ML2023029 Survey Work for North Channel Wind Limited Area 1
morley_2013,The importance of invertebrates when considering the impacts of anthropogenic noise,Morley et al,2013,English,10.1098/rspb.2013.2683,https://plu.mx/plum/a/?doi=10.1098/rspb.2013.2683,Yes,All Open Access; Bronze Open Access,9,09-Jul-25,9,7,1,Done,Repeatd 3 times: Marine recreational and semi-subsistence fishing - Publications Office of the EU
difranco_2020,Effects of marine noise pollution on Mediterranean fishes and invertebrates: A review,Di Franco et al,2020,English,10.1016/j.marpolbul.2020.111450,https://plu.mx/plum/a/?doi=10.1016/j.marpolbul.2020.111450,Yes,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,10,09-Jul-25,10,8,2,Done,Duplicated: Setting EU threshold values for continuous underwater sound - Publications Office of the EU/ European Maritime Transport Environmental Report 2021
cox_2018,Sound the alarm: A meta-analysis on the effect of aquatic noise on fish behavior and physiology,Cox et al ,2018,English,10.1111/gcb.14106,https://plu.mx/plum/a/?doi=10.1111/gcb.14106,Yes,All Open Access; Bronze Open Access,11,09-Jul-25,11,8,3,Done,Duplicated: Draft Environmental Assessment (DEA) to assesses the potential effects of the Waikiki Aquarium Upgrades to improve the Supply Water Intake System/  Underwater Noise in the Arctic - A State of Knowledge Report 2019/ European Maritime Transport Environmental Report 2021
dejong_2020,Predicting the effects of anthropogenic noise on fish reproduction,De Jong et al,2020,English,10.1007/s11160-020-09598-9,https://plu.mx/plum/a/?doi=10.1007/s11160-020-09598-9,Yes,All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access,12,09-Jul-25,12,11,1,Done,"Duplicated: Setting EU threshold values for continuous underwater sound - Publications Office of the EU, European Maritime Transport Environmental Report 2021"
kunc_2016,"Aquatic noise pollution: implications for individuals, populations, and ecosystems",Kunc et al,2016,English,10.1098/rspb.2016.0839,https://plu.mx/plum/a/?doi=10.1098/rspb.2016.0839,Yes,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,17,11-Jul-25,18,18,0,Done,
kunc_2019,The effects of anthropogenic noise on animals: a meta-analysis,Kunc and Schmidt,2019,English,10.1098/rsbl.2019.0649,https://plu.mx/plum/a/?doi=10.1098/rsbl.2019.0649,Yes,All Open Access; Bronze Open Access,19,09-Jul-25,19,13,3,Done,"Repeated 5 times: Listening to Cities: From Noisy Environments to Positive Soundscapes - Frontiers 2022 Report: Emerging Issues of Environmental Concern-Chapter 1/ Duplicated: Environmental noise in Europe, 2020 - Publications Office of the EU/CanWhite Sands – Silica Sand Extraction Project Environment Act Proposal – File No. 6119.00 Public Comments Received From Eva Pip- Manitoba Environment Act Proposal "
nelms_2016,Seismic surveys and marine turtles: An underestimated global threat?,Nelms et al,2016,English,10.1016/j.biocon.2015.10.020,https://plu.mx/plum/a/?doi=10.1016/j.biocon.2015.10.020,Yes,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access,20,09-Jul-25,21,20,1,Done,Duplicated: Recommendations to limit the impacts of manmade underwater acoustic emissions on marine wildlife
wenger_2017,A critical analysis of the direct effects of dredging on fish,Wenger et al,2017,English,10.1111/faf.12218,https://plu.mx/plum/a/?doi=10.1111/faf.12218,Yes,,22,14-Jul-25,25,23,1,Done,Duplicated: Impacts of sediment removal from and placement in coastal barrier island systems and Great Barrier Reef outlook report 2019
farr_2021,Potential environmental effects of deepwater floating offshore wind energy facilities,Farr et al,2021,English,10.1016/j.ocecoaman.2021.105611,https://plu.mx/plum/a/?doi=10.1016/j.ocecoaman.2021.105611,Yes,All Open Access; Hybrid Gold Open Access,21,14-Jul-25,28,23,3,Done,Duplicated: Bilaga D - Miljökonsekvensbeskrivning 2023 / Maine Offshore Wind-Maine Offshore Wind Roadmap 2023 / Repeated 4 times: Characterization of fishing efforts for highly migratory species in the Gulf of Maine and how this relates to areas considered for offshore wind development
