extractor_initials,study_id,doi,year,review_type,self_proclaimed_tudytype,self_claimed,quantitative,ceesat,cited_policy,study_designs,study_design_note,year_range,n_noise_studies,n_studies,Study_area,ecosystem_broad_cat,ecosystem_type,ecosystem_type_notes,broad_noise_source,noise_frequencies,noise_frequencies_note,specific_noises,noise_source,specific_noise,specific_noise_comment,scope_single_species,scope_singlehigher_taxa,scope_taxon,taxa_env,taxa_notes,taxa_as_they reported,n_species,sp_source,sp_source_category,outcome_category,outcome_notes,effects,contextual_modifiers,contextual_modifiers_name,general_notes,Time,Suppementary material,Protocol,
AL,affatati_2023,10.3389/fmars.2023.1222523,2023,Systematic review,Systematic review,yes,no,yes,no,Unclear,,2001-2022,31,31,"North America, Oceania, Europe",Aquatic,Marine,,Industrial,Mixed,~3Ð800 Hz,Yes,Energy,"Oil & Gas, Seismic, Air Gun","Oil&Gas, Seismic surveys, air gun",No,No,"Aves, Mammalia, Invertebrates, Fish","Aves Marine, Mammalia Marine, Invertebrates Marine, Fish Marine","Zooplankton, pinipeds, cetaceans, birds (penguins), fish, invertebrates","Mammalia, Invertebrates, Fish, Aves, Zooplankton",,Yes,Wild,"Behavioural, Communication, Physiological","behavioral responses, acoustic interference (i.e., masking), temporary or permanent shifts in hearing threshold (TTS, PTS), and stress",,No,,,,Yes,No,
AL,afridi_2024,10.1109/ICUAS60882.2024.10557094,2024,Systematic review,Systematic review,yes,no,yes,no,Unclear,"Scientific publications included peer-reviewed journal articles, university dissertations (including MasterÕs theses), conference proceedings, and project reports.",n/a,No information,No information,"Europe, Oceania, North America",Mixed,"Terrestrial, Marine, Freshwater",,Other,Unclear,,Yes,UAV/UAS,Drones,Drones,No,No,"Aves, Mammalia","Aves Terrestrial, Mammalia Marine","Cetaceans, Pinnipeds, birds, ungulates, camelids, bears, elephants","Mammalia, Aves",unclear,Unclear,Wild,"Behavioural, Physiological, Reproductive","Vigilance, avoidance, reproductive impacts, physiological stress (hormonal changes), foraging",,No,,,12:00,No,No,
AL,arcangeli_2023,10.3390/ijerph20010591,2023,Systematic review,Systematic review,yes,no,yes,no,Mixed,"Observational and Experimental. Cohort, case control, experimenta, observational",Unclear,34,49,"Europe, North America, South America, Asia, Africa, Oceania",Mixed,"Terrestrial, Marine, Freshwater","urban, marine, terrestrial, aquatic",Mixed,Mixed,Inference,Yes,"Transportation, Energy, Construction, Synthetic","Boat, Sonar, Aircraft, Road Traffic, Wind Turbines, Pile Driving, Tones","Boat noise, sonar, aircraft, road traffic, wind turbines, pile driving, and playback tones",No,No,"Aves, Amphibia, Mammalia, Fish, Mollusca","Aves Terrestrial, Mammalia Marine, Fish Marine, Amphibia Terrestrial, Mollusca Marine","Mammalia, Aves, Amphibia, Fish, Cephalopoda, Marine species","Mammalia, Aves, Amphibia, Fish, Cephalopoda, Marine species",unclear,No,Mixed,Physiological,,,No,,,,Yes,No,
AL,benitez_2010,10.1016/j.biocon.2010.02.009,2010,Meta-analysis,Meta-analysis,yes,yes,yes,yes,Observational,,1980Ð2008,10,49,"North America, Europe, South America",Terrestrial,Terrestrial,,Transportation,Unclear,,Yes,"Transportation, Construction","Road Traffic, Road Construction","Road traffic, road construction (traffic intensity)",No,Yes,"Aves, Mammalia","Aves Terrestrial, Mammalia Terrestrial","Mammalia, Aves","Mammalia, Aves",Unclear how many they use for the traffic intensity analysis,Unclear,Wild,Ecological,Mean abundance,,Yes,"Infrastructure visibility (e.g., forest cover)","They included 49 papers for the meta-analysis, 201 bird, 33 mammal. However, only 10 bird studies had information on traffic intensity (noise-proxy). They didn't include mammals in this analysis as they only found 5 papers reporting this.",,Yes,Yes,
AL,carlos_2024,10.36677/elperiplo.v0i46.21010,2024,Systematic review,Systematic review,yes,no,yes,no,Mixed,"Experimental, playback, and observational",2010-2022,5,30,South America,Mixed,"Terrestrial, Marine","marine, terrestrial",Mixed,Unclear,,Yes,"Transportation, Recreational","Human Voice, Shipping, Transportation","Tourism: human voice, shipping and transportation",No,No,"Aves, Mammalia","Aves Terrestrial, Mammalia Terrestrial","Aves, Mammalia","Aves, Mammalia",unclear,Yes,Wild,"Behavioural, Physiological, Ecological","Abundance and richness, behavioural and physiological. Forraging, vigilance",,Yes,,They included 30 articles but only 5 about the noise or human presence and noise related to tourism.Most studies where in Protected areas.,,No,"They say they hAves some pre-registered methods, but there is no protocol in the doi link they share: https://figshare.com/articles/dataset/Data_from_A_multidimensional_framework_to_quantify_the_effects_of_urbanization_on_avian_breeding_fitness_/23276912/1",
AL,chen_2023,10.1002/ece3.10259,2023,Systematic review,Systematic review,yes,no,yes,no,Mixed,"Playback, dataloggers to record noise (observational), one paper used distance to roads as proxy to noise. Lab and field.",2003-2019,16,80,"North America, Europe",Urban,Urban,"terrestrial, urban",Transportation,Unclear,they use dB and only mention some freq ranges but didn't investifated any specific range,Yes,Transportation,Traffic,Traffic,No,Yes,Aves,Aves Terrestrial,"Tachycineta_bicolor, Parus_major, Taeniopygia_guttata, Sialia_sialis, Parus_major, Passer_domesticus, Sialia_mexicana, Myiarchus_cinerascens, Parus_major, Ficedula_hypoleuca, Sialia_mexicana, Sialia_currucoides, Myiarchus_cinerascens, Passer_domesticus",Aves,9,Unclear,Wild,Reproductive,"Categorized articles were utilized to identify separate and combined effects of these environmental factors on first egg-laying date, clutch size, number of nestlings and fledglings, and hatching and fledging success","Positive, Negative",Yes,"Land use:food resources, trophic interactions, ALAN",They report postive and negative effects of noise pollution on breeding fitness,,Yes,,
AL,cox_2016,10.1121/2.0000291,2016,Meta-analysis,Meta-analysis,yes,yes,yes,yes,Experimental,,2002-2015,27,27,Unclear,Aquatic,"Freshwater, Marine",Freshwater and marine,Mixed,Unclear,They grouped anthropogenic noise in only one category,No,Unclear,Anthropogenic noise,,No,Yes,Fish,Fish Marine,Fish,Fish,unclear,Yes,Mixed,"Behavioural, Physiological",,,No,,"Authors compare behavior and physiology using HedgesÕ d, most effect sizes were from lab studies but origin not systematically stated. wild caught and lab-raised fishes, and between marine and freshwater fishes",12.27,No,No,
AL,cox_2018,10.1111/gcb.14106,2018,Meta-analysis,Meta-analysis,yes,yes,yes,yes,Experimental,"36 in lab, 6 in situ",1999-2015,42,42,"Unclear, Europe, North America, Asia, Mixed",Aquatic,"Freshwater, Marine",Freshwater and marine,Unclear,Unclear,They grouped anthropogenic noise in only one category,No,"Unclear, Synthetic, Recreational","Anthropogenic noise, Synthetic Tone, Music",,No,Yes,Fish,Fish Marine,Fish,Fish,unclear,Unclear,Unclear,"Behavioural, Physiological, Reproductive, Communication",,,No,,"Studies spanned lab and in situ settings, most used recorded playback or simulated noise sources in tanks. Australia 1, Austria 3, Canada, 3, China, 1, France 1, Greece 5, Italy 6, Netherlands 1, Portugal 3, Scotland 2, Sweden 1, Turkey 1, United Kingdom 4, USA 10.",,Yes,No,They hAves a docx and https://github.com/gomezcatalina/BRS_SB
AL,davies_2024,10.1111/gcb.17593,2024,Meta-analysis,Meta-analysis,yes,yes,yes,no,Experimental,,1982-2022,46,46,"South America, Oceania, North America, Asia, Europe",Aquatic,"Freshwater, Marine",Freshwater and marine,Mixed,Unclear,They grouped anthropogenic noise in only one category,Yes,"Construction, Energy, Recreational, Synthetic, Transportation","Oil & Gas, Pile Driving, Seismic, Shipping, Tank Noise, Bioacoustics, Synthetic Tone, Music","Oil&Gas: anthropogenic (pile-driving, seismic surveys, shipping noise, tank noise), environmental (animal bioacoustics, environmental), synthetic (linear sweep, tone, white noise), and music",No,No,"Bryozoa, Cnidaria, Echinodermata, Arthropoda, Mollusca, Annelida","Bryozoa Marine, Cnidaria Marine, Echinodermata Marine, Arthropoda Marine, Mollusca Marine, Annelida Marine","Arthropoda, Mollusca, Cnidaria, Bryozoa, Echinodermata, Annelida, Zooplankton","Arthropoda, Mollusca, Cnidaria, Bryozoa, Echinodermata, Annelida, Zooplankton",50,No,Mixed,"Behavioural, Physiological","behavioural (defense, foraging, movement, recruitment), physiological (biochemestry, developement, genetics, morphology, survival)",,No,"only noise source, taxa","most prominent physiological responses were related to biochemistry, genetics, and morphology. They do hAves different outcomes, foraging, movement, recruitment, developement, survival, biochemestry... etc",,Yes,No,
AL,dejong_2020,10.1007/s11160-020-09598-9,2020,Meta-analysis,Systematic review,yes,yes,yes,yes,Mixed,Majority are experimental and about 14 observational,1999-2017,62,62,Unclear,Aquatic,"Freshwater, Marine",147 salt water and 103 freshwater,Mixed,Mixed,5 Hz to 96 kHz,Yes,"Construction, Energy, Synthetic, Transportation","Oil & Gas, Shipping, White Noise, Aquaculture, Brown Noise, Drilling, Linear Sweep, Pile Driving, Seismic, Sonar, Tone, Watergun, Traffic","Oil&Gas: Shipping/boat, white noise, aquaculture, brown noise, drilling, linear sweeps, piling, seismic, sonar, tones, watergun, traffic",No,Yes,Fish,Fish Marine,Fish,Fish,52,Yes,Mixed,"Reproductive, Physiological, Communication, Behavioural, Ecological","Stress, masking, hearing lost, r",,Yes,"Exposure time (intermitent vs continuos noise, irregular vs regular noise), amplitude, study type, habitat, life stage, study.","They did a meta-analysis and a review: Meta-analysis: Stress (avoidance, condition-loss, cortisol), Masking (change in signal, avoidance), Hearing loss (change in signal, avoidance). Review: sexual developement, establishment at spawning (migration, resource competition), Spawning success (mate-localization, courtship, mate-choice), hatching success (parental care)",,Yes,,
