Variables,Category/Formats,Definition,,,,
time,24 hrs,time at the begining of the assesment,,,,
date,MM/DD/YYY,date of the assessment,,,,
reviewer,"AA, BB, etc.","Initials of the reviewer, first name and last name initials.",,,,
study_id,"e.g., smith_2020",Unique ID of the review: firstauthor_year format,,,,
study_type,Systematic review/Meta-analysis/systematic map,"Structured evidence synthesis using a search strategy (keywords + databases), predefined criteria to identify and analyze studies, which often answer a question or make a recommendation about what they are reviewing.Ê",,,,
supplementary,yes/no,if there is supplementary material,,,,
protocol,yes/no/a priori,"""YES"" if there is a protocol but it was not a priori",,,,
doi,"e.g., 10.1093/beheco/ar","Digital Object Identifier (e.g., 10.1093/beheco/ar). Matched from journal metadata",,,, 
total_score,interger,"Sum of the totall score Gold 4 pts, Green 3 pts, Amber 2 pts, Red 0 pts",,,,
,,,,,,
CEESAT ITEMS AND CRITERIA,,,,,,
ITEM,question,Gold,Green,Amber,Red,syntheses_type
1.1,Are the elements of the review question clear?,"The review question or hypothesis is clearly stated and clearly defines key elements (e.g., PICO, PECO, PO, PIT, etc.) correctly, such as the subject or population of interest, the intervention or exposure type, the comparator, and valid measures of outcome.","The review question or hypothesis is clearly stated, and key elements are mentioned although not formally defined in terms of PICO, PECO, PO, PIT, etc.",The question or hypothesis is stated in broad terms but key elements are unclear or poorly defined.,"A question, hypothesis, or problem is not stated OR There is no stated objective to provide an answer to a question or test of a hypothesis OR The article does not contain an evidence synthesis (e.g., primary research or descriptive overview).",Systematic map; review; meta-analysis
